feature,importance
volatility_12m,0.5135582392292715
volatility_6m,0.09359761912828314
volatility_3m,0.08279904163351696
market_momentum_3m,0.08123066911325465
momentum_12m,0.07525881335556162
momentum_3m,0.05070032656061075
momentum_6m,0.027280090934348612
market_volatility_12m,0.023596366723911355
ticker=IBM,0.022039120052130122
market_volatility_6m,0.012649140357270786
ticker=ADBE,0.007331759595771739
ticker=XRX,0.004068112918196909
ticker=AAPL,0.002825971544826376
market_volatility_3m,0.0021710123196902287
return_1m,0.0008937165333555286
abs_return_1m,0.0
squared_return_1m,0.0
vol_ratio_3_12,0.0
market_abs_return_1m,0.0
ticker=AMZN,0.0
ticker=GOOGL,0.0
ticker=MSFT,0.0
